platform,canonical_url,creator_handle,creator_name,creator_country,creator_country_evidence,language,caption,published_at,views,likes,comments,shares,followers,category,format,primary_angle,q4_pillars,gifting_keywords,product_focus,occasion,brand_fit_notes,hook_summary,proof_mechanism,paid_partnership,evidence_quality
TikTok,https://www.tiktok.com/@sydlywydly/video/7673595466268937485,@sydlywydly,THE SKINCARE QUEEN,United States,https://tikbuddy.com/tiktok/sydlywydly,English,"My full review of the Knock Bodycare sea salt collection.",2026-08-14,,10700,,,,bodycare,talking head,full collection verdict,"Aesop Alternative;Gift Guide",luxury body care;gift for her,body wash;body scrub,,ritual;texture;sensory,"I tried the whole sea-salt bodycare collection—here is the full verdict.",Full-set trial and direct creator verdict,false,high
TikTok,https://www.tiktok.com/@anbriellee/video/7652481251181448479,@anbriellee,Anbriel Lee,United States,https://www.tiktok.com/@anbriellee,English,"I love EOS, however I still feel dry. Worth the hype for smelling good, but not yet for moisturizing.",2026-06-18,,13300,,,,bodycare,talking head,brutally honest review,Aesop Alternative,worth the hype;gift for her,body lotion,,sensory;scent;honest limitation,"I love the scent, but here is where the viral lotion falls short.",Specific drawback plus use-case distinction,false,medium
TikTok,https://www.tiktok.com/@elianajalali/video/7570625599841111327,@elianajalali,Eliana Jalali Muller,United States,https://crevideo.com/tiktok/elianajalali,English,"What to gift a beauty-obsessed girl who seemingly has everything: luxury body care from Cyklar.",2025-11-09,,72,,,,bodycare,talking head,girl who has everything,"Gift Guide;Aesop Alternative;Occasion","women who have everything;luxury body care;holiday gift;gift for her",gift set,Christmas;holiday party,beautiful;considered;luxury;recipient,"What do you gift the beauty-obsessed woman who seemingly has everything?",Recipient tension and multiple gift-set options,true,high
TikTok,https://www.tiktok.com/@ashleyorganic/video/7561771695447493902,@ashleyorganic,Ashley Organic,United States,https://linktr.ee/ashleyorganic,English,"The OSEA Ocean Body Glow Holiday Gift Set is a good deal: body wash, oil and butter for less than buying separately.",2025-10-16,,71,,,,bodycare,talking head,gift set value proof,"Gift Guide;Occasion","holiday gift;self-care gift;treat yourself;gift set","body wash;body oil;body butter;gift set",Christmas,value;ritual;gift or keep,"This holiday bodycare set costs less than buying the ritual separately.",Price comparison and complete routine,true,medium
TikTok,https://www.tiktok.com/@khroniclesofkat/photo/7564538366717365559,@khroniclesofkat,Kat,United States,https://www.tiktok.com/@khroniclesofkat,English,"Clean beauty gift guides, first of many this holiday season, featuring OSEA Malibu.",2025-10-24,,129,,,,bodycare,gift guide,clean beauty roundup,"Gift Guide;Occasion","clean beauty;holiday gift guide;gift for her",bodycare gift set,Christmas,curated;ritual;premium,"The first clean-beauty gift guide of the holiday season.",Curated edit and seasonal search intent,true,medium
TikTok,https://www.tiktok.com/@claudia_rica/video/7568276937764834590,@claudia_rica,Claudia,United States,https://www.tiktok.com/@claudia_rica,English,"Beekman 1802 and Hershey's limited-edition holiday goat-milk bodycare, perfect for gifting.",2025-11-03,,103,,,,bodycare,unboxing,limited-edition holiday unboxing,"Gift Guide;Occasion","holiday gift ideas;winter body care;limited edition",bodycare collection,Christmas;Secret Santa,unboxing;sensory;seasonal,"A familiar holiday collaboration turned into a limited-edition bodycare gift.",PR unboxing and seasonal collaboration,false,medium
TikTok,https://www.tiktok.com/@lizzyfitzgerald_/photo/7577134567027526942,@lizzyfitzgerald_,Lizzy Fitzgerald,United States,https://www.tiktok.com/@lizzyfitzgerald_,English,"Beauty gifts anyone would love regardless of age—products I own and would want to receive.",2025-11-27,,26,,,,bodycare,gift guide,products I would receive,"Gift Guide;Occasion","beauty gifts;gift for her;women who have everything",bodycare;hand care,Christmas;hostess,curated;personal proof;minimal luxury,"These are beauty gifts I already own—and would still love to receive.",Ownership proof and broad recipient fit,false,medium
TikTok,https://www.tiktok.com/@beautybynori/video/7575987511810542851,@beautybynori,BeautyByNori,United States,https://www.tiktok.com/@beautybynori,English,"Brutally honest Tree Hut review including viral body scrubs and sprays.",2025-11-24,,203,,,,bodycare,talking head,brutally honest review,"Aesop Alternative;Gift Guide","worth the hype;under $100","body scrub;body spray",Secret Santa,honest;texture;scent;price,"A brutally honest verdict on the viral scrubs and sprays.",Product-by-product ranking and clear tradeoffs,false,medium
TikTok,https://www.tiktok.com/@lexus.mxrie/video/7643899396081356046,@lexus.mxrie,Lexi,United States,https://www.tiktok.com/@lexus.mxrie,English,"I finally tried the XIRU Elixir Body Oil. Deeply nourishing but lightweight enough for daily use.",2026-05-26,,105,,,,bodycare,UGC review,worth the luxury hype,"Aesop Alternative;Keepsake","luxury body care;treat yourself;gift for her",body oil,,luxury;sensory;daily ritual,"The luxury body oil hits the rare balance of rich and lightweight.",Texture demonstration and daily-use experience,true,medium
TikTok,https://www.tiktok.com/@jyyrho/video/7435879000309910839,@jyyrho,The RhoView,United States,https://www.tiktok.com/@jyyrho,English,"Christmas shopping is done when every girl gets the Youth System body set.",2024-11-11,,99,,,,bodycare,talking head,one gift for all the girlies,"Gift Guide;Occasion","Christmas gift;gift set;gift for her","cleanser;exfoliator;body butter;gift set","Christmas;office party",easy gifting;complete ritual,"One bodycare set solves Christmas shopping for all the girlies.",Complete three-step set and recipient shorthand,false,medium
